state,period,group,population,population_thousands,proxy
RN,2010,emigrant,54017.09869140416,54.01709869140416,Five-year state of residence
RN,2010,stayer,2619924.3265517754,2619.9243265517753,Five-year state of residence
RO,2010,immigrant,65863.62437069906,65.86362437069907,Five-year state of residence
RO,2010,emigrant,53642.72394630056,53.64272394630056,Five-year state of residence
RO,2010,stayer,1195640.698111642,1195.640698111642,Five-year state of residence
RR,2010,immigrant,25555.839891621094,25.555839891621094,Five-year state of residence
RR,2010,emigrant,11204.179771586443,11.204179771586443,Five-year state of residence
RR,2010,stayer,347727.25606038293,347.72725606038296,Five-year state of residence
RS,2010,immigrant,102613.02018827431,102.61302018827432,Five-year state of residence
RS,2010,emigrant,177263.4170360996,177.26341703609958,Five-year state of residence
RS,2010,stayer,9009698.810453916,9009.698810453916,Five-year state of residence
SC,2010,immigrant,301340.6996764473,301.34069967644734,Five-year state of residence
SC,2010,emigrant,128888.44711162412,128.88844711162412,Five-year state of residence
SC,2010,stayer,4963846.267653376,4963.846267653375,Five-year state of residence
SE,2010,immigrant,53038.89606592843,53.03889606592843,Five-year state of residence
SE,2010,emigrant,45144.10671849499,45.144106718494996,Five-year state of residence
SE,2010,stayer,1709673.4257732446,1709.6734257732446,Five-year state of residence
SP,2010,immigrant,991314.5894304845,991.3145894304845,Five-year state of residence
SP,2010,emigrant,735518.4255849246,735.5184255849247,Five-year state of residence
SP,2010,stayer,34661929.91935759,34661.92991935759,Five-year state of residence
TO,2010,immigrant,85705.48392656267,85.70548392656266,Five-year state of residence
TO,2010,emigrant,77051.87909557865,77.05187909557866,Five-year state of residence
TO,2010,stayer,1038853.1633568007,1038.8531633568007,Five-year state of residence
AC,pooled,immigrant,97542.16416093933,97.54216416093932,Person-weighted census pool
AC,pooled,emigrant,112006.55720349315,112.00655720349316,Person-weighted census pool
